object	id	taxonomy	obstacles	m1_cal	m2_cal	m3_cal	m4_cal	x	y	z	rx	ry	rz	m1	m2	m3	m4
mustard bottle																	
medium timmies cup	463750.0	8.0	0.0	14478	14994	16412	16809	47.847974	-116.08065400000001	97.38681899999999	-0.9869479999999999	-1.3829690000000001	-0.8388979999999999	15914.0	13554.0	17847.0	16410.0
medium timmies cup	463751.0	8.0	0.0	14478	14994	16412	16809	2.263011	-117.01356499999999	83.429792	-1.1809290000000001	1.146688	1.074654	16004.0	13466.0	17935.0	16410.0
medium timmies cup	463752.0	8.0	0.0	14478	14994	16412	16809	-19.747801000000003	-97.906859	81.68609599999999	-0.920941	1.288333	0.81571	16008.0	13462.0	17938.0	16410.0
medium timmies cup	463753.0	8.0	0.0	14478	14994	16412	16809	75.776061	-110.671225	95.326554	-0.839182	-1.453837	-0.680412	16002.0	13466.0	17934.0	16410.0
medium timmies cup	463754.0	8.0	0.0	14478	14994	16412	16809	76.824166	-96.320821	91.52231	-0.769933	-1.511786	-0.6117560000000001	15961.0	13507.0	17893.0	16410.0
medium timmies cup	463755.0	8.0	0.0	14478	14994	16412	16809	68.372085	-105.116965	95.142937	-0.908225	-1.4504190000000001	-0.690679	15893.0	13577.0	17825.0	16410.0
medium timmies cup	463756.0	8.0	0.0	14478	14994	16412	16809	148.698332	-101.056028	113.871582	-0.38054499999999997	-1.7807549999999999	-0.433399	15465.0	14004.0	17399.0	16410.0
medium timmies cup	463757.0	8.0	0.0	14478	14994	16412	16809	53.428763000000004	-121.08168300000001	102.855254	-0.9673729999999999	-1.434587	-0.74066	15911.0	13559.0	17843.0	16410.0
medium timmies cup	463758.0	8.0	0.0	14478	14994	16412	16809	55.180002	-104.79434499999999	91.254644	-0.997907	-1.3887209999999999	-0.866906	15824.0	13644.0	17759.0	16410.0
medium timmies cup	463759.0	8.0	0.0	14478	14994	16412	16809	-3.6725190000000003	-93.29900400000001	92.618719	-1.0603719999999999	1.302145	0.932069	15901.0	13568.0	17833.0	16410.0
medium timmies cup	463760.0	8.0	0.0	14478	14994	16412	16809	63.172385	-93.933808	101.18785	-0.9203629999999999	-1.357954	-0.729873	15830.0	13639.0	17765.0	16410.0
medium timmies cup	463761.0	8.0	0.0	14478	14994	16412	16809	-9.724787	-106.15889399999999	80.284515	-1.041048	1.306813	0.941831	16171.0	13299.0	18100.0	16410.0
medium timmies cup	463762.0	8.0	0.0	14478	14994	16412	16809	70.04982199999999	-103.25228299999999	101.22414	-0.90245	-1.452858	-0.679029	16030.0	13439.0	17962.0	16410.0
medium timmies cup	463763.0	8.0	0.0	14478	14994	16412	16809	-5.2472389999999995	-101.37929799999999	78.048367	-1.0555370000000002	1.306363	0.8936430000000001	15965.0	13504.0	17897.0	16410.0
medium timmies cup	463764.0	8.0	0.0	14478	14994	16412	16809	92.414183	-82.024149	78.974822	-0.705128	-1.551847	-0.5023029999999999	16030.0	13438.0	17962.0	16410.0
medium timmies cup	463765.0	8.0	0.0	14478	14994	16412	16809	-8.502158	-109.61740900000001	83.796634	-1.0178770000000001	1.3390309999999999	0.8951530000000001	16021.0	13447.0	17954.0	16410.0
medium timmies cup	463766.0	8.0	0.0	14478	14994	16412	16809	64.049447	-169.695097	99.199128	-1.15085	-1.334576	-0.804322	15449.0	14022.0	17382.0	16410.0
medium timmies cup	463767.0	8.0	0.0	14478	14994	16412	16809	-46.057165000000005	-93.58412299999999	83.08763499999999	-0.854733	1.467317	0.694778	15877.0	13592.0	17809.0	16410.0
medium timmies cup	463768.0	8.0	0.0	14478	14994	16412	16809	52.850458999999994	-104.746894	104.07645699999999	-0.985878	-1.361332	-0.729517	16070.0	13398.0	18002.0	16410.0
medium timmies cup	463769.0	8.0	0.0	14478	14994	16412	16809	91.993504	-71.570255	81.866407	-0.6090979999999999	-1.587892	-0.44345500000000004	15988.0	13480.0	17921.0	16410.0
medium timmies cup	463770.0	8.0	0.0	14478	14994	16412	16809	-59.970098	-90.800889	89.050809	-0.722078	1.487382	0.59619	16022.0	13447.0	17954.0	16410.0
medium timmies cup	463771.0	8.0	0.0	14478	14994	16412	16809	104.302037	-51.236237	82.992561	-0.428792	-1.6159729999999999	-0.378225	15915.0	13554.0	17846.0	16410.0
medium timmies cup	463772.0	8.0	0.0	14478	14994	16412	16809	-63.340217	-81.573786	86.388253	-0.751069	1.494502	0.608953	15932.0	13537.0	17864.0	16405.0
medium timmies cup	463773.0	8.0	0.0	14478	14994	16412	16809	100.258698	-63.527786	83.573674	-0.520251	-1.616676	-0.42477600000000004	15959.0	13509.0	17891.0	16406.0
medium timmies cup	463774.0	8.0	0.0	14478	14994	16412	16809	8.129164999999999	-120.706232	94.303332	-1.178952	1.268126	1.141345	15978.0	13492.0	17909.0	16406.0
medium timmies cup	463775.0	8.0	0.0	14478	14994	16412	16809	77.647144	-104.93348200000001	94.52068	-0.7969350000000001	-1.497998	-0.5967819999999999	15915.0	13555.0	17846.0	16403.0
medium timmies cup	463776.0	8.0	0.0	14478	14994	16412	16809	-28.881359000000003	-110.916775	84.468151	-1.00327	1.358087	0.866102	15755.0	13716.0	17688.0	16406.0
medium timmies cup	463777.0	8.0	0.0	14478	14994	16412	16809	82.71944599999999	-85.923536	91.63670400000001	-0.683395	-1.549461	-0.49314300000000005	15857.0	13612.0	17790.0	16406.0
medium timmies cup	463778.0	8.0	0.0	14478	14994	16412	16809	-43.941401	-94.387291	88.407156	-0.8422559999999999	1.4133	0.670959	15914.0	13555.0	17847.0	16406.0
medium timmies cup	463779.0	8.0	0.0	14478	14994	16412	16809	61.411209	-114.32083600000001	101.123901	-0.8909549999999999	-1.4693200000000002	-0.6828960000000001	16000.0	13469.0	17931.0	16406.0
medium timmies cup	463780.0	8.0	0.0	14478	14994	16412	16809	0.8720959999999999	-105.08998799999999	83.20651600000001	-1.174595	1.294476	1.007843	15915.0	13555.0	17846.0	16406.0
medium timmies cup	463781.0	8.0	0.0	14478	14994	16412	16809	64.180933	-106.899791	102.42771	-0.9000090000000001	-1.450253	-0.644396	16061.0	13408.0	17992.0	16406.0
medium timmies cup	463782.0	8.0	0.0	14478	14994	16412	16809	102.097116	-49.039444	87.782624	-0.44946	-1.6465189999999998	-0.32556599999999997	15905.0	13564.0	17837.0	16406.0
medium timmies cup	463783.0	8.0	0.0	14478	14994	16412	16809	-39.637215999999995	-94.200115	86.507997	-0.8966040000000001	1.376234	0.7279100000000001	16025.0	13443.0	17957.0	16399.0
medium timmies cup	463784.0	8.0	0.0	14478	14994	16412	16809	43.371691	-117.204051	94.311913	-1.002529	-1.4126290000000001	-0.785384	15828.0	13641.0	17762.0	16406.0
